d1500,w80,m100,s150,p3
10716,T1
11229,A1
12013,T0
12013,A0
15013,R
10710,T1
11223,A1
12007,T0
12007,A0
15007,R
10711,T1
11223,A1
12007,T0
12007,A0
15007,R
10741,T1
11223,A1
12037,T0
12037,A0
15037,R
10711,T1
11194,A1
12008,T0
12008,A0
15008,R
10710,T1
11223,A1
12007,T0
12007,A0
15007,R
10710,T1
11223,A1
12007,T0
12007,A0
15007,R
10711,T1
11223,A1
12007,T0
12007,A0
15007,R
10741,T1
11223,A1
12038,T0
12038,A0
15038,R
10192,T1
11187,A1
12001,A0
12009,T0
15001,R
10200,T1
11225,A1
12009,T0
12009,A0
15009,R
10229,T1
11224,A1
12008,T0
12008,A0
15008,R
10230,T1
11225,A1
12039,T0
12039,A0
15039,R
10199,T1
11194,A1
12008,T0
12008,A0
15008,R
10200,T1
11195,A1
12009,T0
12009,A0
15009,R
10200,T1
11195,A1
11759,B1
12009,T0
12009,A0
12875,B0
15009,R
10200,T1
10479,B1
11226,A1
11639,B0
12010,T0
12010,A0
15010,R
10199,T1
11224,A1
11723,B1
12009,T0
12009,A0
12958,B0
15009,R
10230,T1
11225,A1
11664,B1
12010,T0
12010,A0
12709,B0
15010,R
10230,T1
10473,B1
11225,A1
11624,B0
12009,T0
12009,A0
15009,R
10230,T1
11225,A1
11749,B1
12040,T0
12040,A0
13036,B0
15040,R
10200,T1
11195,A1
11964,B1
12009,T0
12009,A0
13044,B0
15009,R
10200,T1
10630,B1
11195,A1
11844,B0
12010,T0
12010,A0
15010,R
10199,T1
11194,A1
11555,B1
12010,T0
12010,A0
12574,B0
15010,R
10199,T1
11194,A1
11911,B1
12009,T0
12009,A0
12810,B0
15009,R
10200,T1
11225,A1
11716,B1
12010,T0
12010,A0
12703,B0
15010,R
10230,T1
11225,A1
11558,B1
12010,T0
12010,A0
12602,B0
15010,R
10230,T1
11225,A1
11980,B1
12009,T0
12009,A0
13010,B0
15009,R
10230,T1
11225,A1
11881,B1
12009,T0
12009,A0
13074,B0
15009,R
10230,T1
11225,A1
11623,B1
12041,A0
12048,T0
12778,B0
15041,R
10199,T1
11194,A1
11289,B1
12010,T0
12010,A0
12428,B0
15010,R
10200,T1
10526,B1
11195,A1
11691,B0
12010,A0
12017,T0
15010,R
10199,T1
10415,B1
11195,A1
11772,B0
12009,T0
12009,A0
15009,R
10200,T1
11225,A1
11594,B1
12010,T0
12010,A0
12800,B0
15010,R
10200,T1
11225,A1
11523,B1
12010,T0
12010,A0
12780,B0
15010,R
10230,T1
10993,B1
11225,A1
12009,T0
12009,A0
12371,B0
15009,R
10230,T1
11106,B1
11225,A1
12009,A0
12017,T0
12305,B0
15009,R
10230,T1
11225,A1
11925,B1
12040,T0
12040,A0
13106,B0
15040,R
10200,T1
11194,A1
11952,B1
12009,T0
12009,A0
13194,B0
15009,R
10200,T1
11195,A1
11541,B1
12010,T0
12010,A0
12735,B0
15010,R
10200,T1
11195,A1
11254,B1
12011,T0
12011,A0
12450,B0
15011,R
10200,T1
11195,A1
11782,B1
12010,T0
12010,A0
12979,B0
15010,R
10200,T1
11225,A1
11775,B1
12009,T0
12009,A0
12799,B0
15009,R
10200,T1
11225,A1
11648,B1
12010,T0
12010,A0
12772,B0
15010,R
10230,T1
11225,A1
11728,B1
12010,T0
12010,A0
12728,B0
15010,R
10230,T1
11225,A1
11514,B1
12010,T0
12010,A0
12673,B0
15010,R
10230,T1
10469,B1
11225,A1
11714,B0
12040,T0
12040,A0
15040,R
10199,T1
11194,A1
11859,B1
12009,T0
12009,A0
13022,B0
15009,R
10200,T1
11195,A1
11866,B1
12009,T0
12009,A0
12989,B0
15009,R
10200,T1
11195,A1
11864,B1
12010,T0
12010,A0
12803,B0
15010,R
10200,T1
11195,A1
12009,T0
12009,A0
12055,B1
12758,B0
15009,R
10200,T1
11225,A1
11779,B1
12010,T0
12010,A0
12790,B0
15010,R
10229,T1
11224,A1
11754,B1
12009,T0
12009,A0
12864,B0
15009,R
10230,T1
11225,A1
11824,B1
12010,T0
12010,A0
12921,B0
15010,R
10230,T1
10528,B1
11225,A1
11690,B0
12039,T0
12039,A0
15039,R
10200,T1
11195,A1
11662,B1
12010,T0
12010,A0
12852,B0
15010,R
10200,T1
11195,A1
12004,B1
12004,T0
12004,A0
12901,B0
15004,R
10205,T1
11078,B1
11200,A1
11956,B0
12014,T0
12014,A0
15014,R
10200,T1
10370,B1
11195,A1
11440,B0
12009,A0
12017,T0
15009,R
10200,T1
11225,A1
11429,B1
12011,T0
12011,A0
12508,B0
15011,R
10200,T1
11225,A1
11620,B1
12010,T0
12010,A0
12802,B0
15010,R
10230,T1
11210,B1
11225,A1
12011,T0
12011,A0
12403,B0
15011,R
10230,T1
11225,A1
11388,B1
12010,A0
12018,T0
12775,B0
15010,R
10230,T1
11225,A1
11302,B1
12011,T0
12011,A0
12687,B0
15011,R
10230,T1
11225,A1
11920,B1
12040,T0
12040,A0
12914,B0
15040,R
10199,T1
11194,A1
11613,B1
12010,T0
12010,A0
12730,B0
15010,R
10199,T1
11194,A1
11657,B1
12010,T0
