d2000,w80,m250,s150,p3
16354,T1
16836,A1
17649,T0
17649,A0
20649,R
21190,T1
21702,A1
22485,T0
22485,A0
25485,R
31614,T1
34114,A1
34898,T0
34898,A0
37898,R
18185,T1
20715,A1
21499,T0
21499,A0
24499,R
19176,T1
21677,A1
22460,T0
22460,A0
25460,R
18125,T1
20625,A1
21439,T0
21439,A0
24439,R
25034,T1
27534,A1
28318,T0
28318,A0
31318,R
28578,T1
31079,A1
31862,T0
31862,A0
34862,R
18336,T1
20836,A1
21649,T0
21649,A0
24649,R
30351,T1
32852,A1
33665,A0
33673,T0
36665,R
26086,T1
28586,A1
29399,T0
29399,A0
32399,R
29270,T1
31770,A1
32554,T0
32554,A0
35554,R
32814,T1
35314,A1
36128,T0
36128,A0
39128,R
26356,T1
28856,A1
29669,T0
29669,A0
32669,R
26356,T1
28857,A1
29670,T0
29670,A0
32670,R
15392,T1
17892,A1
18706,T0
18706,A0
21706,R
29900,T1
32400,A1
32755,B1
32762,B0
32770,B1
33185,T0
33185,A0
33872,B0
36185,R
33359,T1
35860,A1
36507,B1
36516,B0
36523,B1
36674,T0
36674,A0
37418,B0
39674,R
21852,T1
24352,A1
24583,B1
25137,T0
25137,A0
25539,B0
28137,R
27410,T1
29911,A1
30266,B1
30275,B0
30282,B1
30695,T0
30695,A0
31232,B0
33695,R
21011,T1
23511,A1
24051,B1
24059,B0
24066,B1
24295,T0
24295,A0
24973,B0
27295,R
25218,T1
27718,A1
28019,B1
28503,T0
28503,A0
29200,B0
31503,R
28522,T1
31022,A1
31424,B1
31837,T0
31837,A0
32375,B0
34837,R
25367,T1
27867,A1
28392,B1
28682,T0
28682,A0
29267,B0
31682,R
29874,T1
32374,A1
32535,B1
33159,T0
33159,A0
33618,B0
36159,R
26179,T1
28679,A1
28989,B1
29494,T0
29494,A0
29888,B0
32494,R
14581,T1
17081,A1
17379,B1
17896,T0
17896,A0
18405,B0
20896,R
27471,T1
30001,A1
30336,B1
30344,B0
30352,B1
30786,T0
30786,A0
31294,B0
33786,R
25998,T1
28498,A1
28809,B1
29313,T0
29313,A0
29942,B0
32313,R
23445,T1
25945,A1
26758,T0
26758,A0
26877,B1
28091,B0
29758,R
18608,T1
21108,A1
21552,B1
21892,T0
21892,A0
22670,B0
24892,R
19479,T1
21979,A1
22598,B1
22793,T0
22793,A0
23655,B0
25793,R
27170,T1
29671,A1
30223,B1
30485,T0
30485,A0
31086,B0
33485,R
16654,T1
19154,A1
19968,T0
19968,A0
20296,B1
21212,B0
22968,R
13710,T1
16210,A1
16666,B1
16674,B0
16681,B1
17025,T0
17025,A0
17795,B0
20025,R
27410,T1
29911,A1
30117,B1
30726,T0
30726,A0
31180,B0
33726,R
30054,T1
32554,A1
33086,B1
33095,B0
33102,B1
33338,T0
33338,A0
34191,B0
36338,R
31287,T1
33787,A1
33951,B1
34602,T0
34602,A0
35092,B0
37602,R
16054,T1
18554,A1
19321,B1
19330,B0
19337,B1
19368,T0
19368,A0
20377,B0
22368,R
24105,T1
26605,A1
26852,B1
26859,B0
26867,B1
27420,T0
27420,A0
27879,B0
30420,R
30265,T1
32765,A1
32810,B1
33551,T0
33551,A0
34107,B0
36551,R
17405,T1
19905,A1
20218,B1
20225,B0
20233,B1
20720,T0
20720,A0
21248,B0
23720,R
23445,T1
25945,A1
26451,B1
26459,B0
26467,B1
26729,T0
26729,A0
27455,B0
29729,R
19629,T1
22129,A1
22683,B1
22913,T0
22913,A0
23964,B0
25913,R
15212,T1
17713,A1
17941,B1
17948,B0
17956,B1
18497,T0
18497,A0
18955,B0
21497,R
32879,T1
35379,A1
35614,B1
35623,B0
35631,B1
36195,T0
36195,A0
36833,B0
39195,R
d2000,w80,m300,s150,p3
18787,T1
21799,A1
22582,T0
22582,A0
25582,R
30772,T1
33754,A1
34371,B1
34568,T0
34568,A0
35357,B0
37568,R
31467,T1
34449,A1
34905,B1
35264,T0
35264,A0
36043,B0
38264,R
26208,T1
29221,A1
29298,B1
29307,B0
29314,B1
30006,T0
30006,A0
30605,B0
33006,R
19899,T1
22911,A1
23052,B1
23061,B0
23068,B1
23697,T0
23697,A0
24487,B0
26697,R
22092,T1
25104,A1
25179,B1
25186,B0
25194,B1
25889,T0
25889,A0
26699,B0
28889,R
26209,T1
29221,A1
29509,B1
29517,B0
29524,B1
30036,T0
30036,A0
31011,B0
33036,R
14491,T1
17504,A1
17838,B1
17846,B0
17853,B1
18288,A0
18296,T0
18896,B0
21288,R
30776,T1
33788,A1
34193,B1
34202,B0
34210,B1
34572,T0
34572,A0
35198,B0
37572,R
17165,T1
20148,A1
20625,B1
20634,B0
20642,B1
20962,T0
20962,A0
21637,B0
23962,R
15452,T1
18465,A1
18923,B1
18932,B0
18940,B1
19249,T0
19249,A0
19820,B0
22249,R
18457,T1
21439,A1
21764,B1
21771,B0
21779,B1
22254,T0
22254,A0
22859,B0
25254,R
17856,T1
20838,A1
21172,B1
21181,B0
21188,B1
21653,T0
21653,A0
22233,B0
24653,R
24195,T1
27208,A1
27424,B1
27433,B0
27440,B1
27993,T0
27993,A0
28859,B0
30993,R
16954,T1
19937,A1
20230,B1
20239,B0
20246,B1
20751,T0
20751,A0
21289,B0
23751,R
24316,T1
27246,B1
27254,B0
27262,B1
27329,A1
28142,T0
28142,A0
28525,B0
31142,R
13590,T1
16602,A1
17096,B1
17104,B0
17111,B1
17386,T0
17386,A0
18474,B0
20386,R
20981,T1
23994,A1
24391,B1
24400,B0
24407,B1
24778,T0
24778,A0
25461,B0
27778,R
28372,T1
31384,A1
31786,B1
32169,T0
32169,A0
33111,B0
35169,R
29904,T1
32916,A1
33321,B1
33329,B0
33337,B1
33701,A0
33708,T0
34363,B0
36701,R
14881,T1
17863,A1
17973,B1
17980,B0
17988,B1
18679,T0
18679,A0
19088,B0
21679,R
15031,T1
18044,A1
18234,B1
18243,B0
18250,B1
18829,T0
18829,A0
19285,B0
21829,R
16143,T1
19125,A1
19344,B1
19353,B0
19360,B1
19941,T0
19941,A0
20627,B0
22941,R
22873,T1
25885,A1
26110,B1
26117,B0
26124,B1
26700,T0
26700,A0
27310,B0
29700,R
28432,T1
31415,A1
31919,B1
31926,B0
31934,B1
32229,T0
32229,A0
33172,B0
35229,R
23084,T1
26066,A1
26224,B1
26233,B0
26240,B1
26881,T0
26881,A0
27458,B0
29881,R
26179,T1
29161,A1
29450,B1
29458,B0
29466,B1
29976,T0
29976,A0
30793,B0
32976,R
22663,T1
25560,B1
25568,B0
25575,B1
25676,A1
26490,T0
26490,A0
26995,B0
29490,R
25066,T1
28079,A1
28275,B1
28282,B0
28290,B1
28894,T0
28894,A0
29569,B0
31894,R
15512,T1
18525,A1
19045,B1
19052,B0
19059,B1
19309,A0
19316,T0
20222,B0
22309,R
14581,T1
17593,A1
17919,B1
17926,B0
17933,B1
18378,T0
18378,A0
19072,B0
21378,R
d2000,w80,m100,s150,p3
22363,T1
23357,A1
24170,T0
24170,A0
27170,R
17915,T1
18940,A1
19723,T0
19723,A0
22723,R
23743,T1
24767,A1
25550,T0
25550,A0
26159,B1
26168,B0
26176,B1
27324,B0
28550,R
26690,T1
27684,A1
28276,B1
28498,T0
28498,A0
28937,B0
31498,R
26780,T1
27407,B1
27414,B0
27422,B1
27775,A1
28248,B0
28588,A0
28595,T0
31588,R
22814,T1
23330,B1
23338,B0
23345,B1
23808,A1
24465,B0
24621,T0
24621,A0
27621,R
23145,T1
24169,A1
24952,A0
24960,T0
25236,B1
26027,B0
27952,R
31854,B1
31862,B0
31869,B1
32864,B0
33931,T1
34926,A1
35739,T0
35739,A0
38739,R
15212,T1
16206,A1
17019,T0
17019,A0
20019,R
20289,T1
21283,A1
22097,T0
22097,A0
22119,B1
23024,B0
25097,R
23925,T1
24919,A1
25632,B1
25639,B0
25647,B1
25733,T0
25733,A0
26484,B0
28733,R
23174,T1
24169,A1
24742,B1
24751,B0
24759,B1
24953,A0
24960,T0
25510,B0
27953,R
19028,T1
20052,A1
20689,B1
20836,T0
20836,A0
21376,B0
23836,R
24646,T1
25640,A1
26232,B1
26241,B0
26248,B1
26454,T0
26454,A0
26963,B0
29454,R
17406,T1
18400,A1
19213,T0
19213,A0
19388,B1
20209,B0
22213,R
25879,T1
26903,A1
27582,B1
27687,T0
27687,A0
28617,B0
30687,R
16834,T1
17828,A1
18413,B1
18643,T0
18643,A0
19476,B0
21643,R
26106,B1
26113,B0
26121,B1
27020,T1
27140,B0
28044,A1
28828,T0
28828,A0
31828,R
24498,B1
24505,B0
24513,B1
25518,T1
25549,B0
26512,A1
27325,T0
27325,A0
30325,R
30776,T1
31800,A1
32420,B1
32584,T0
32584,A0
33138,B0
35584,R
18487,T1
19511,A1
20295,T0
20295,A0
21012,B1
21019,B0
21027,B1
21761,B0
23295,R
33660,T1
34654,A1
35378,B1
35385,B0
35393,B1
35468,T0
35468,A0
36122,B0
38468,R
18757,T1
19782,A1
20565,T0
20565,A0
21332,B1
21339,B0
21347,B1
22227,B0
23565,R
27831,T1
28825,A1
29598,B1
29639,T0
29639,A0
30536,B0
32639,R
32308,T1
33302,A1
34116,T0
34116,A0
34218,B1
34936,B0
37116,R
21972,T1
22966,A1
23780,T0
23780,A0
24038,B1
24786,B0
26780,R
26389,T1
27413,A1
28196,T0
28196,A0
28263,B1
28270,B0
28278,B1
29178,B0
31196,R
33360,T1
34354,A1
35003,B1
35168,T0
35168,A0
35734,B0
