d2000,w80,m200,s300,p3
30669,T1
32688,A1
32807,B1
32814,B0
32822,B1
33486,T0
33486,A0
34334,B0
36486,R
16508,T1
18497,A1
18714,B1
18721,B0
18729,B1
19295,T0
19295,A0
20207,B0
22295,R
16477,T1
18467,A1
18900,B1
19294,A0
19301,T0
20249,B0
22294,R
27708,T1
29718,B1
29727,B0
29727,A1
29742,B1
30526,T0
30526,A0
31377,B0
33526,R
28227,T1
30247,A1
30285,B1
31045,A0
31052,T0
31885,B0
34045,R
20903,T1
22922,A1
23276,B1
23719,T0
23719,A0
24695,B0
26719,R
17272,T1
19261,A1
19821,B1
20057,T0
20057,A0
21282,B0
23057,R
27800,T1
29554,B1
29820,A1
30616,T0
30616,A0
31121,B0
33616,R
15654,T1
17643,A1
18355,B1
18439,A0
18446,T0
19772,B0
21439,R
33568,T1
35557,A1
35961,B1
36354,T0
36354,A0
37257,B0
39354,R
19499,T1
21519,A1
21593,B1
21600,B0
21608,B1
22316,A0
22324,T0
23090,B0
25316,R
25603,T1
27623,A1
28130,B1
28137,B0
28145,B1
28419,T0
28419,A0
29903,B0
31419,R
18554,T1
20543,A1
20836,B1
21340,T0
21340,A0
22496,B0
24340,R
23314,T1
25303,A1
25802,B1
26099,T0
26099,A0
27323,B0
29099,R
27312,T1
29332,A1
29479,B1
30129,T0
30129,A0
31075,B0
33129,R
28685,T1
30674,A1
30798,B1
31503,T0
31503,A0
32573,B0
34503,R
31889,T1
33878,A1
34453,B1
34705,T0
34705,A0
35744,B0
37705,R
24016,T1
26036,A1
26181,B1
26833,T0
26833,A0
28069,B0
29833,R
20110,T1
22130,A1
22880,B1
22926,T0
22926,A0
24434,B0
25926,R
21269,T1
23258,A1
23919,B1
24054,T0
24054,A0
25317,B0
27054,R
21605,T1
23625,A1
23767,B1
24422,T0
24422,A0
25617,B0
27422,R
33660,T1
35679,A1
36395,B1
36402,B0
36410,B1
36476,T0
36476,A0
37737,B0
39476,R
33446,T1
35435,A1
35641,B1
36232,T0
36232,A0
36858,B0
39232,R
19530,T1
21519,A1
22129,B1
22315,T0
22315,A0
23498,B0
25315,R
30700,T1
32623,B1
32689,A1
33485,T0
33485,A0
33929,B0
36485,R
23497,T1
25516,A1
25682,B1
26314,T0
26314,A0
26897,B0
29314,R
22337,T1
24357,A1
24735,B1
24742,B0
24750,B1
25154,T0
25154,A0
25890,B0
28154,R
14585,T1
16575,A1
17037,B1
17371,T0
17371,A0
18314,B0
20371,R
20934,T1
22954,A1
23356,B1
23750,T0
23750,A0
24682,B0
26750,R
30516,T1
32333,B1
32537,A1
33332,T0
33332,A0
34528,B0
36332,R
15227,T1
17216,A1
18012,T0
18012,A0
19102,B1
20578,B0
21012,R
25602,T1
27592,A1
27883,B1
28389,T0
28389,A0
29146,B0
31389,R
31248,T1
33099,B1
33268,A1
34064,T0
34064,A0
35291,B0
37064,R
15440,T1
17460,A1
18256,T0
18256,A0
18288,B1
20056,B0
21256,R
19163,T1
21152,A1
21298,B1
21981,T0
21981,A0
22899,B0
24981,R
29936,T1
31956,A1
31963,B1
32753,T0
32753,A0
33697,B0
35753,R
23192,T1
25212,A1
25826,B1
26008,T0
26008,A0
27125,B0
29008,R
25511,T1
27501,A1
27959,B1
28297,T0
28297,A0
29455,B0
31297,R
34148,T1
36137,A1
36358,B1
36935,T0
36935,A0
38038,B0
39935,R
23893,T1
25883,A1
26139,B1
26680,T0
26680,A0
27963,B0
29680,R
22428,T1
24448,A1
24763,B1
25245,T0
25245,A0
26296,B0
28245,R
30577,T1
32566,A1
32967,B1
33363,T0
33363,A0
36363,R
2199,B0
22948,T1
24937,A1
25273,B1
25765,T0
25765,A0
26721,B0
28765,R
34117,T1
36106,A1
36323,B1
36904,T0
36904,A0
38058,B0
39904,R
20475,T1
22495,A1
22822,B1
23292,A0
23300,T0
24601,B0
26292,R
30486,T1
32506,A1
32850,B1
33303,T0
33303,A0
34540,B0
36303,R
18675,T1
20694,A1
21490,T0
21490,A0
21588,B1
23565,B0
24490,R
24535,T1
26524,A1
26684,B1
26692,B0
26700,B1
27321,T0
27321,A0
28347,B0
30321,R
15532,T1
17552,A1
18337,B1
18348,T0
18348,A0
19888,B0
21348,R
15196,T1
17185,A1
17497,B1
17504,B0
17512,B1
17982,T0
17982,A0
18874,B0
20982,R
30364,T1
32353,A1
32420,B1
32427,B0
32435,B1
33150,A0
33158,T0
33755,B0
36150,R
15074,T1
17063,A1
17810,B1
17859,T0
17859,A0
19211,B0
20859,R
24962,T1
26951,A1
27235,B1
27748,T0
27748,A0
28510,B0
30748,R
27984,T1
30003,A1
30541,B1
30800,T0
30800,A0
32033,B0
33800,R
23253,T1
25242,A1
25556,B1
26039,T0
26039,A0
27086,B0
29039,R
22795,T1
24815,A1
24886,B1
25612,T0
25612,A0
26666,B0
28612,R
16295,T1
18284,A1
19080,T0
19080,A0
19607,B1
21322,B0
22080,R
15196,T1
17185,A1
17193,B1
17983,T0
17983,A0
18735,B0
20983,R
32256,T1
34245,A1
34887,B1
35041,T0
35041,A0
36004,B0
38041,R
29784,T1
31773,A1
32177,B1
32570,T0
32570,A0
33572,B0
35570,R
d2000,w80,m150,s150,p3
21451,T1
22957,A1
23770,T0
23770,A0
26770,R
20318,T1
21825,A1
22638,T0
22638,A0
25638,R
18967,T1
20473,A1
21286,T0
21286,A0
24286,R
22692,T1
